ID,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Difficulty
1,What is the capital of France?,Paris,London,Berlin,Madrid,Paris,0
2,What is 2 + 2?,4,3,5,6,4,0
3,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,1
4,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au,1
5,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter,2
6,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo,0
7,What is the square root of 64?,8,6,10,12,8,1
8,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci,1
9,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,H2O,0
10,"What is the speed of light?","299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s","299,792,458 m/s",2
11,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,Canberra,1
12,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,0
13,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,Albert Einstein,1
14,What is the chemical symbol for carbon?,C,Ca,Co,Cr,C,0
15,What is the smallest prime number?,2,1,3,0,2,1
16,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,Brasília,1
17,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,0,1
18,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,George Orwell,1
19,What is the atomic number of hydrogen?,1,2,3,4,1,0
20,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,Nile,2
21,What is the capital of France?,Paris,London,Berlin,Madrid,Paris,0
22,What is 2 + 2?,4,3,5,6,4,0
23,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,1
24,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au,1
